derivative,command_send,command_response,answer
Nam thường đến trường.,"s(Tree,[nam, thuong, den, truong],[]).","s(Tree,[nam, thuong, den, truong],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(thuong)),verbp(verb(den),nounp(noun(truong))))"
Lan thường đến thư viện.,"s(Tree,[lan, thuong, den, thu-vien],[]).","s(Tree,[lan, thuong, den, thu-vien],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(thuong)),verbp(verb(den),nounp(noun(thu-vien))))"
Lan thường đến trường.,"s(Tree,[lan, thuong, den, truong],[]).","s(Tree,[lan, thuong, den, truong],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(thuong)),verbp(verb(den),nounp(noun(truong))))"
Lan thường đến nhà.,"s(Tree,[lan, thuong, den, nha],[]).","s(Tree,[lan, thuong, den, nha],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(thuong)),verbp(verb(den),nounp(noun(nha))))"
Nam thường đến nhà.,"s(Tree,[nam, thuong, den, nha],[]).","s(Tree,[nam, thuong, den, nha],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(thuong)),verbp(verb(den),nounp(noun(nha))))"
Nam đến nhà.,"s(Tree,[nam, den, nha],[]).","s(Tree,[nam, den, nha],[]).","Tree = sent(nounp(propenn(nam)),verbp(verb(den),nounp(noun(nha))))"
Lan đến nhà.,"s(Tree,[lan, den, nha],[]).","s(Tree,[lan, den, nha],[]).","Tree = sent(nounp(propenn(lan)),verbp(verb(den),nounp(noun(nha))))"
Nam đến thư viện,"s(Tree,[nam, den, thu-vien],[]).","s(Tree,[nam, den, thu-vien],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(den),nounp(noun(thu-vien))))"
Lan đến thư viện.,"s(Tree,[lan, den, thu-vien],[]).","s(Tree,[lan, den, thu-vien],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(den),nounp(noun(thu-vien))))"
Nam đến trường.,"s(Tree,[nam, den, truong],[]).","s(Tree,[nam, den, truong],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(den),nounp(noun(truong))))"
Lan đến trường.,"s(Tree,[lan, den, truong],[]).","s(Tree,[lan, den, truong],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(den),nounp(noun(truong))))"
Lan thường đến nhà của Lan.,"s(Tree,[lan, thuong, den, nha, cua, lan],[]).","s(Tree,[lan, thuong, den, nha, cua, lan],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(thuong)),verbp(verb(den),nounp(noun(nha),pp(p(cua),nounp(propenn(lan))))))"
